id,name,website,business_id
4e674f1a-f4c6-4f3f-adfb-74f1f4fe89d7,Clevenue,clevenue.io,88acb8a1-46b8-4dc3-8146-c423ced18ea3
0db83c78-712d-4d16-b33b-eccd6dea58b2,Clari,clari.com,88acb8a1-46b8-4dc3-8146-c423ced18ea3
bbfcf176-23a4-413d-9686-b7e1c3bba1c8,Gong,gong.io,88acb8a1-46b8-4dc3-8146-c423ced18ea3
8e827e1c-1c45-44d8-90da-a4fa389d64a1,Kluster,kluster.com,88acb8a1-46b8-4dc3-8146-c423ced18ea3
bfb8dec3-1a03-485a-8906-cdba79f05fde,Revenue Grid,revenuegrid.com,88acb8a1-46b8-4dc3-8146-c423ced18ea3
de9b033e-5c31-476d-ba57-8edf9521bd16,Foreca.ai,foreca.ai,88acb8a1-46b8-4dc3-8146-c423ced18ea3
4e9a7ae8-f866-4de2-a263-935d37403522,Lattice Engines,,88acb8a1-46b8-4dc3-8146-c423ced18ea3
c9a82bf6-5d36-4c15-a249-d3a9d7ed428c,Quota Path,,88acb8a1-46b8-4dc3-8146-c423ced18ea3
81129245-8d96-4bd9-8736-6069d075ee5d,Growth Pilot,,88acb8a1-46b8-4dc3-8146-c423ced18ea3
83912d3c-4031-4204-b633-2dd6afc76c6e,Churn Zero,,88acb8a1-46b8-4dc3-8146-c423ced18ea3
4a31782d-be41-4496-970e-8b402a2cb0ea,Profit Well,,88acb8a1-46b8-4dc3-8146-c423ced18ea3
f029154c-bd46-4f92-bda3-9b5779a57cd0,Demand Base,,88acb8a1-46b8-4dc3-8146-c423ced18ea3
7996a3a2-7f5e-472c-a7f9-1e8b66957eb3,,,a8e3cb10-b20f-45cb-be52-11acf970102e
c4b8d811-274b-446d-aa7a-edd8e3c592ab,,,fb7ea5c9-adfb-4771-9633-ccd1d93f343f
60bc714e-a561-492a-96ca-bcef81af077a,,,a8e3cb10-b20f-45cb-be52-11acf970102e
ed266719-66da-4b57-b41a-fe8ce547e76d,,,9711af30-59c8-4ccb-aad2-84d79549d718
db3f4dfe-2ea5-4911-9349-82a86d02e19b,,,a8e3cb10-b20f-45cb-be52-11acf970102e
a0134c63-3043-4cbf-8e82-4fc3e08cdbb6,,,1d4dd34d-74d2-4d95-9328-a41311e8c970
b22b5e6c-7810-4e4d-a80a-3a4c4ed8b3a3,Choco,,04bad275-435d-4ad1-b7ac-9b638e0e1d1f
c64063e8-da7c-49b8-9896-996088531a7f,Fresho,,04bad275-435d-4ad1-b7ac-9b638e0e1d1f
a6f5e5d8-751c-46ac-ab7a-a03042f63a3f,Frupro,,04bad275-435d-4ad1-b7ac-9b638e0e1d1f
f34b95a3-413c-48d4-870e-adb401a25c39,Mezze,,04bad275-435d-4ad1-b7ac-9b638e0e1d1f
41a942cb-dfb5-4930-a2e9-896d19fd2eb4,,,04bad275-435d-4ad1-b7ac-9b638e0e1d1f
53764af1-e430-4db5-904f-7d3ee44d2166,,,841c2846-69aa-4dec-bebf-f718c324f567
2811d7e2-0814-4b8e-ae60-921013f1ef88,,,841c2846-69aa-4dec-bebf-f718c324f567
b99467ca-fabc-4fdb-b071-8a4cf8fb4662,,,9b7971b0-9ee7-48f8-b712-71be2b492c08
d23f7912-c2bd-4e04-8803-264696484bdf,Credas,https://credas.com/,4fb060b4-b549-4222-8fcf-74b4b5608d70
668b1763-7c15-480b-a6e6-0db2b4ec18cd,Smartsearch,https://www.smartsearch.com/,4fb060b4-b549-4222-8fcf-74b4b5608d70
4c65ffa1-9013-4606-950c-fa7d4f507e09,In Case,https://www.in-case.co.uk/,4fb060b4-b549-4222-8fcf-74b4b5608d70
cfec4220-81c3-49c6-8431-568eeb4518b8,Checkboard,https://checkboard.com/,4fb060b4-b549-4222-8fcf-74b4b5608d70
95e7d120-0983-4b65-a005-6bdac20b76d3,,,4fb060b4-b549-4222-8fcf-74b4b5608d70
74d647ea-e796-4b43-bbda-78b36c3e6b65,,,1d4dd34d-74d2-4d95-9328-a41311e8c970
d2438b44-e100-4860-8775-e3d297521100,,,1d4dd34d-74d2-4d95-9328-a41311e8c970
56459cad-c0f6-4e6f-8e46-19ac3a7bb95d,,,88acb8a1-46b8-4dc3-8146-c423ced18ea3
8f61fbb6-006f-49c2-8d3d-9259a8d46cde,,,fb7ea5c9-adfb-4771-9633-ccd1d93f343f
27671dc3-f0fa-4a43-8f67-19e5f359dece,,,76b0fb14-7435-4b27-b546-131604c91d9d
c25084c5-2cea-4f49-9ed9-bfa52e5b13ab,,,ecbd6b03-42f4-40ad-b694-d86a1fc133ca
e39a066e-99e5-4fe3-b7ed-a07ed0f8add3,,,91ead3b7-09fd-4a39-89cb-4b0057a71fda
ebdb02a6-65d9-4133-bbe5-12804bdcc8ce,,,fc9a20e5-ef29-4558-9e95-e0c1d0c7b744
2896a5cd-6571-4451-83a0-52725276cc3c,,,6efe55da-4025-4530-91ce-4879d2bc1976
cef77574-e6b4-4b18-9b41-e929ae890e6e,,,3aaec89c-440b-4224-a962-f65c7a02ff69
fbe8a885-fe20-4790-98b3-096cff54e2ff,,,7d8bec7c-cd60-4ab2-9e12-785939b00775
a633b90d-fecc-48a1-ab60-45115487d014,,,3a8ab696-e271-4ca6-8902-6cf6e35316aa
aa6a8f08-e64e-456a-86b3-908eacdfed24,,,e38faf66-c5be-465c-bb10-c49225bba818
733d6c72-6f80-434c-8655-fb5fe4907f7a,,,0cfdfe5d-0557-494f-b75b-5682d9da2360
2610e8fd-41b2-4e6c-b3e4-4f293fda323c,,,0cfdfe5d-0557-494f-b75b-5682d9da2360
e565d0ed-9ef9-4223-916c-decb903358d1,,,f1b3d76f-793f-44b7-bab0-4d4b5cd87644
f6c56acf-230c-44a4-87ae-289fd460a0d5,,,fc9a20e5-ef29-4558-9e95-e0c1d0c7b744
ff2dfb98-9843-4aba-b742-547a5563e0fe,,,fc9a20e5-ef29-4558-9e95-e0c1d0c7b744
de288d45-504c-494e-8eb1-e31cc2eb34b5,,,68cbadc1-74a1-4caa-bfbc-42c88fa9b457
723fe0f4-c74f-4c38-beba-a766394cee31,,,41fcddbe-8f8d-4d09-8aa2-27ba57e09270
3305b3d1-1ffb-41ff-a73f-7a99fdf7916c,,,41fcddbe-8f8d-4d09-8aa2-27ba57e09270
57623833-ec0a-4411-af33-a968322ec650,,,44cd39f5-fc7d-4296-a883-60c0fc141595
7e0de4ad-c97c-459e-9f3e-dbd1738f05df,,,44cd39f5-fc7d-4296-a883-60c0fc141595
d490def5-e860-4079-915f-1cf313e741dd,,,cf19f78a-e0b3-4dd5-8097-3af445a409f6
9e78f4e6-6cfa-4251-a450-30fe6a37e0fa,,,cf19f78a-e0b3-4dd5-8097-3af445a409f6
afcd8962-2d63-4519-a985-94512f0290a5,,,a3c93746-231c-445b-9a98-c2b2717c71a8
2cf3f600-c6af-4035-9aff-19f76480fe78,,,eea98755-2210-4995-a13e-9c0f824f4884
e5390cc0-5c57-48aa-9f00-286c26bbb8ed,,,7e5cb85a-ad85-4b2d-9e7d-9763281c8f8e
c0500f22-ae33-4dc5-8546-e99cd6524626,,,4a5b339b-41f3-4fd4-b0a5-c12455401fe0
3c8a3baf-1971-4c45-b8e7-2655cccd3e75,,,fba7722c-eb6e-4ee6-b065-a75b3b478a16
53192255-de25-42a4-ad6f-ce05059415cb,,,a467f0d0-3d73-4214-b20a-938fe3c8d2dc
5e18c254-e808-4587-8744-428aec379b6d,,,1972713a-0da8-4de3-9f1e-e292f177b590
2a21f293-8ce2-4938-abf3-38ecac66309c,,,223859f6-2334-4201-bc91-137ba0eeb2c1
363d1a2b-9346-46a8-bd53-700694529831,,,bd197c70-71cf-49ac-921d-780874199cdb
951459d6-aa14-4a64-ae1b-c97bb9b30f9c,,,bd197c70-71cf-49ac-921d-780874199cdb
bb50a43f-2015-400b-bb30-7dcc1fe1f34b,,,bd197c70-71cf-49ac-921d-780874199cdb
